# nproc total    comp    i/o   init
 1920  4489.0  4206.0   68.0  215.0
 3840  2670.0  2252.0   99.0  200.0
 7680  1808.0  1128.0  161.0  213.0
15360  1757.0   514.0  319.0  231.0
19200  1927.0   381.0  403.0  201.0
24000  2278.0   305.0  526.0  198.0
30720  2792.0   234.0  714.0  213.0
